"athlete","stretch","injury"
"Athlete","Stretching",2
"Athlete","Stretching",2
"Athlete","Stretching",1
"Athlete","Stretching",2
"Athlete","Stretching",0
"Athlete","Stretching",1
"Athlete","Stretching",2
"Athlete","Stretching",0
"Athlete","Stretching",2
"Athlete","Stretching",2
"Athlete","Stretching",2
"Athlete","Stretching",1
"Athlete","Stretching",4
"Athlete","Stretching",2
"Athlete","Stretching",2
"Athlete","Stretching",0
"Athlete","Stretching",0
"Athlete","Stretching",3
"Athlete","Stretching",3
"Athlete","Stretching",3
"Athlete","Stretching",2
"Athlete","Stretching",1
"Athlete","Stretching",0
"Athlete","Stretching",2
"Athlete","Stretching",2
"Athlete","Stretching",3
"Athlete","Stretching",2
"Athlete","Stretching",2
"Athlete","Stretching",3
"Athlete","Stretching",1
"Athlete","No Stretching",2
"Athlete","No Stretching",4
"Athlete","No Stretching",1
"Athlete","No Stretching",2
"Athlete","No Stretching",2
"Athlete","No Stretching",2
"Athlete","No Stretching",1
"Athlete","No Stretching",4
"Athlete","No Stretching",4
"Athlete","No Stretching",1
"Athlete","No Stretching",2
"Athlete","No Stretching",3
"Athlete","No Stretching",3
"Athlete","No Stretching",3
"Athlete","No Stretching",3
"Athlete","No Stretching",2
"Athlete","No Stretching",3
"Athlete","No Stretching",2
"Athlete","No Stretching",2
"Athlete","No Stretching",2
"Athlete","No Stretching",1
"Athlete","No Stretching",0
"Athlete","No Stretching",3
"Athlete","No Stretching",3
"Athlete","No Stretching",2
"Athlete","No Stretching",1
"Athlete","No Stretching",2
"Athlete","No Stretching",4
"Athlete","No Stretching",1
"Athlete","No Stretching",2
"Non-Athlete","Stretching",5
"Non-Athlete","Stretching",5
"Non-Athlete","Stretching",3
"Non-Athlete","Stretching",6
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",3
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",5
"Non-Athlete","Stretching",5
"Non-Athlete","Stretching",2
"Non-Athlete","Stretching",6
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",3
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",3
"Non-Athlete","Stretching",2
"Non-Athlete","Stretching",1
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",3
"Non-Athlete","Stretching",2
"Non-Athlete","Stretching",2
"Non-Athlete","Stretching",1
"Non-Athlete","Stretching",3
"Non-Athlete","Stretching",1
"Non-Athlete","Stretching",1
"Non-Athlete","Stretching",3
"Non-Athlete","Stretching",4
"Non-Athlete","Stretching",2
"Non-Athlete","No Stretching",7
"Non-Athlete","No Stretching",8
"Non-Athlete","No Stretching",6
"Non-Athlete","No Stretching",9
"Non-Athlete","No Stretching",4
"Non-Athlete","No Stretching",7
"Non-Athlete","No Stretching",5
"Non-Athlete","No Stretching",9
"Non-Athlete","No Stretching",6
"Non-Athlete","No Stretching",4
"Non-Athlete","No Stretching",8
"Non-Athlete","No Stretching",5
"Non-Athlete","No Stretching",4
"Non-Athlete","No Stretching",7
"Non-Athlete","No Stretching",10
"Non-Athlete","No Stretching",1
"Non-Athlete","No Stretching",3
"Non-Athlete","No Stretching",2
"Non-Athlete","No Stretching",1
"Non-Athlete","No Stretching",3
"Non-Athlete","No Stretching",3
"Non-Athlete","No Stretching",2
"Non-Athlete","No Stretching",3
"Non-Athlete","No Stretching",4
"Non-Athlete","No Stretching",2
"Non-Athlete","No Stretching",0
"Non-Athlete","No Stretching",1
"Non-Athlete","No Stretching",3
"Non-Athlete","No Stretching",2
"Non-Athlete","No Stretching",0
